FK_ID_ALUNO,SITUACAO_CURSO,SITUACAO_FINANCEIRA,,,,,,,,
1,CURSANDO,OK,(,1,",",'CURSANDO',",",'OK',),","
2,FORMADO,DEVEDOR,(,2,",",'FORMADO',",",'DEVEDOR',),","
3,LISTA DE ESPERA,OK,(,3,",",'LISTA DE ESPERA',",",'OK',),","
4,CURSANDO,OK,(,4,",",'CURSANDO',",",'OK',),","
5,LISTA DE ESPERA,OK,(,5,",",'LISTA DE ESPERA',",",'OK',),","
6,LISTA DE ESPERA,OK,(,6,",",'LISTA DE ESPERA',",",'OK',),","
7,CURSANDO,OK,(,7,",",'CURSANDO',",",'OK',),","
8,FORMADO,OK,(,8,",",'FORMADO',",",'OK',),","
9,LISTA DE ESPERA,OK,(,9,",",'LISTA DE ESPERA',",",'OK',),","
10,CURSANDO,OK,(,10,",",'CURSANDO',",",'OK',),","
11,FORMADO,DEVEDOR,(,11,",",'FORMADO',",",'DEVEDOR',),","
12,LISTA DE ESPERA,OK,(,12,",",'LISTA DE ESPERA',",",'OK',),","
13,LISTA DE ESPERA,OK,(,13,",",'LISTA DE ESPERA',",",'OK',),","
14,LISTA DE ESPERA,OK,(,14,",",'LISTA DE ESPERA',",",'OK',),","
15,CURSANDO,DEVEDOR,(,15,",",'CURSANDO',",",'DEVEDOR',),","
16,FORMADO,DEVEDOR,(,16,",",'FORMADO',",",'DEVEDOR',),","
17,FORMADO,DEVEDOR,(,17,",",'FORMADO',",",'DEVEDOR',),","
18,LISTA DE ESPERA,OK,(,18,",",'LISTA DE ESPERA',",",'OK',),","
19,CURSANDO,DEVEDOR,(,19,",",'CURSANDO',",",'DEVEDOR',),","
20,FORMADO,DEVEDOR,(,20,",",'FORMADO',",",'DEVEDOR',),","
21,LISTA DE ESPERA,OK,(,21,",",'LISTA DE ESPERA',",",'OK',),","
22,FORMADO,DEVEDOR,(,22,",",'FORMADO',",",'DEVEDOR',),","
23,LISTA DE ESPERA,OK,(,23,",",'LISTA DE ESPERA',",",'OK',),","
24,LISTA DE ESPERA,OK,(,24,",",'LISTA DE ESPERA',",",'OK',),","
25,CURSANDO,DEVEDOR,(,25,",",'CURSANDO',",",'DEVEDOR',),","
26,LISTA DE ESPERA,OK,(,26,",",'LISTA DE ESPERA',",",'OK',),","
27,LISTA DE ESPERA,OK,(,27,",",'LISTA DE ESPERA',",",'OK',),","
28,CURSANDO,OK,(,28,",",'CURSANDO',",",'OK',),","
29,CURSANDO,OK,(,29,",",'CURSANDO',",",'OK',),","
30,LISTA DE ESPERA,OK,(,30,",",'LISTA DE ESPERA',",",'OK',),","
31,LISTA DE ESPERA,OK,(,31,",",'LISTA DE ESPERA',",",'OK',),","
32,CURSANDO,OK,(,32,",",'CURSANDO',",",'OK',),","
33,FORMADO,OK,(,33,",",'FORMADO',",",'OK',),","
34,CURSANDO,OK,(,34,",",'CURSANDO',",",'OK',),","
35,FORMADO,OK,(,35,",",'FORMADO',",",'OK',),","
36,FORMADO,OK,(,36,",",'FORMADO',",",'OK',),","
37,FORMADO,OK,(,37,",",'FORMADO',",",'OK',),","
38,LISTA DE ESPERA,OK,(,38,",",'LISTA DE ESPERA',",",'OK',),","
39,LISTA DE ESPERA,OK,(,39,",",'LISTA DE ESPERA',",",'OK',),","
40,CURSANDO,OK,(,40,",",'CURSANDO',",",'OK',),","
41,LISTA DE ESPERA,OK,(,41,",",'LISTA DE ESPERA',",",'OK',),","
42,CURSANDO,OK,(,42,",",'CURSANDO',",",'OK',),","
43,CURSANDO,OK,(,43,",",'CURSANDO',",",'OK',),","
44,CURSANDO,DEVEDOR,(,44,",",'CURSANDO',",",'DEVEDOR',),","
45,CURSANDO,OK,(,45,",",'CURSANDO',",",'OK',),","
46,CURSANDO,OK,(,46,",",'CURSANDO',",",'OK',),","
47,CURSANDO,OK,(,47,",",'CURSANDO',",",'OK',),","
48,FORMADO,OK,(,48,",",'FORMADO',",",'OK',),","
49,LISTA DE ESPERA,OK,(,49,",",'LISTA DE ESPERA',",",'OK',),","
50,FORMADO,OK,(,50,",",'FORMADO',",",'OK',),","
51,CURSANDO,OK,(,51,",",'CURSANDO',",",'OK',),","
52,CURSANDO,DEVEDOR,(,52,",",'CURSANDO',",",'DEVEDOR',),","
53,CURSANDO,OK,(,53,",",'CURSANDO',",",'OK',),","
54,CURSANDO,OK,(,54,",",'CURSANDO',",",'OK',),","
55,FORMADO,DEVEDOR,(,55,",",'FORMADO',",",'DEVEDOR',),","
56,CURSANDO,OK,(,56,",",'CURSANDO',",",'OK',),","
57,FORMADO,OK,(,57,",",'FORMADO',",",'OK',),","
58,FORMADO,OK,(,58,",",'FORMADO',",",'OK',),","
59,FORMADO,DEVEDOR,(,59,",",'FORMADO',",",'DEVEDOR',),","
60,CURSANDO,OK,(,60,",",'CURSANDO',",",'OK',),","
61,CURSANDO,OK,(,61,",",'CURSANDO',",",'OK',),","
62,CURSANDO,OK,(,62,",",'CURSANDO',",",'OK',),","
63,FORMADO,OK,(,63,",",'FORMADO',",",'OK',),","
64,CURSANDO,DEVEDOR,(,64,",",'CURSANDO',",",'DEVEDOR',),","
65,CURSANDO,OK,(,65,",",'CURSANDO',",",'OK',),","
66,LISTA DE ESPERA,OK,(,66,",",'LISTA DE ESPERA',",",'OK',),","
67,CURSANDO,OK,(,67,",",'CURSANDO',",",'OK',),","
68,LISTA DE ESPERA,OK,(,68,",",'LISTA DE ESPERA',",",'OK',),","
69,LISTA DE ESPERA,OK,(,69,",",'LISTA DE ESPERA',",",'OK',),","
70,LISTA DE ESPERA,OK,(,70,",",'LISTA DE ESPERA',",",'OK',),","
71,FORMADO,OK,(,71,",",'FORMADO',",",'OK',),","
72,FORMADO,OK,(,72,",",'FORMADO',",",'OK',),","
73,LISTA DE ESPERA,OK,(,73,",",'LISTA DE ESPERA',",",'OK',),","
74,LISTA DE ESPERA,OK,(,74,",",'LISTA DE ESPERA',",",'OK',),","
75,CURSANDO,DEVEDOR,(,75,",",'CURSANDO',",",'DEVEDOR',),","
76,FORMADO,OK,(,76,",",'FORMADO',",",'OK',),","
77,LISTA DE ESPERA,OK,(,77,",",'LISTA DE ESPERA',",",'OK',),","
78,CURSANDO,OK,(,78,",",'CURSANDO',",",'OK',),","
79,FORMADO,OK,(,79,",",'FORMADO',",",'OK',),","
80,FORMADO,OK,(,80,",",'FORMADO',",",'OK',),","
81,CURSANDO,OK,(,81,",",'CURSANDO',",",'OK',),","
82,FORMADO,DEVEDOR,(,82,",",'FORMADO',",",'DEVEDOR',),","
83,LISTA DE ESPERA,OK,(,83,",",'LISTA DE ESPERA',",",'OK',),","
84,FORMADO,DEVEDOR,(,84,",",'FORMADO',",",'DEVEDOR',),","
85,FORMADO,OK,(,85,",",'FORMADO',",",'OK',),","
86,FORMADO,OK,(,86,",",'FORMADO',",",'OK',),","
87,CURSANDO,OK,(,87,",",'CURSANDO',",",'OK',),","
88,FORMADO,OK,(,88,",",'FORMADO',",",'OK',),","
89,FORMADO,OK,(,89,",",'FORMADO',",",'OK',),","
90,CURSANDO,DEVEDOR,(,90,",",'CURSANDO',",",'DEVEDOR',),","
91,LISTA DE ESPERA,OK,(,91,",",'LISTA DE ESPERA',",",'OK',),","
92,FORMADO,OK,(,92,",",'FORMADO',",",'OK',),","
93,LISTA DE ESPERA,OK,(,93,",",'LISTA DE ESPERA',",",'OK',),","
94,LISTA DE ESPERA,OK,(,94,",",'LISTA DE ESPERA',",",'OK',),","
95,FORMADO,OK,(,95,",",'FORMADO',",",'OK',),","
96,CURSANDO,DEVEDOR,(,96,",",'CURSANDO',",",'DEVEDOR',),","
97,FORMADO,OK,(,97,",",'FORMADO',",",'OK',),","
98,LISTA DE ESPERA,OK,(,98,",",'LISTA DE ESPERA',",",'OK',),","
99,FORMADO,OK,(,99,",",'FORMADO',",",'OK',),","
100,LISTA DE ESPERA,OK,(,100,",",'LISTA DE ESPERA',",",'OK',),","
101,CURSANDO,DEVEDOR,(,101,",",'CURSANDO',",",'DEVEDOR',),","
102,LISTA DE ESPERA,OK,(,102,",",'LISTA DE ESPERA',",",'OK',),","
103,FORMADO,OK,(,103,",",'FORMADO',",",'OK',),","
104,LISTA DE ESPERA,OK,(,104,",",'LISTA DE ESPERA',",",'OK',),","
105,LISTA DE ESPERA,OK,(,105,",",'LISTA DE ESPERA',",",'OK',),","
106,CURSANDO,OK,(,106,",",'CURSANDO',",",'OK',),","
107,LISTA DE ESPERA,DEVEDOR,(,107,",",'LISTA DE ESPERA',",",'DEVEDOR',),","
108,LISTA DE ESPERA,OK,(,108,",",'LISTA DE ESPERA',",",'OK',),","
109,CURSANDO,OK,(,109,",",'CURSANDO',",",'OK',),","
110,CURSANDO,OK,(,110,",",'CURSANDO',",",'OK',),","
111,LISTA DE ESPERA,OK,(,111,",",'LISTA DE ESPERA',",",'OK',),","
112,LISTA DE ESPERA,OK,(,112,",",'LISTA DE ESPERA',",",'OK',),","
113,CURSANDO,OK,(,113,",",'CURSANDO',",",'OK',),","
114,FORMADO,DEVEDOR,(,114,",",'FORMADO',",",'DEVEDOR',),","
115,CURSANDO,OK,(,115,",",'CURSANDO',",",'OK',),","
116,FORMADO,DEVEDOR,(,116,",",'FORMADO',",",'DEVEDOR',),","
117,FORMADO,OK,(,117,",",'FORMADO',",",'OK',),","
118,FORMADO,OK,(,118,",",'FORMADO',",",'OK',),","
119,LISTA DE ESPERA,OK,(,119,",",'LISTA DE ESPERA',",",'OK',),","
120,LISTA DE ESPERA,OK,(,120,",",'LISTA DE ESPERA',",",'OK',),","
121,CURSANDO,OK,(,121,",",'CURSANDO',",",'OK',),","
122,LISTA DE ESPERA,DEVEDOR,(,122,",",'LISTA DE ESPERA',",",'DEVEDOR',),","
123,CURSANDO,OK,(,123,",",'CURSANDO',",",'OK',),","
124,CURSANDO,OK,(,124,",",'CURSANDO',",",'OK',),","
125,CURSANDO,OK,(,125,",",'CURSANDO',",",'OK',),","
126,CURSANDO,OK,(,126,",",'CURSANDO',",",'OK',),","
127,CURSANDO,OK,(,127,",",'CURSANDO',",",'OK',),","
128,CURSANDO,DEVEDOR,(,128,",",'CURSANDO',",",'DEVEDOR',),","
129,FORMADO,OK,(,129,",",'FORMADO',",",'OK',),","
130,LISTA DE ESPERA,OK,(,130,",",'LISTA DE ESPERA',",",'OK',),","
131,FORMADO,OK,(,131,",",'FORMADO',",",'OK',),","
132,CURSANDO,OK,(,132,",",'CURSANDO',",",'OK',),","
133,CURSANDO,DEVEDOR,(,133,",",'CURSANDO',",",'DEVEDOR',),","
134,CURSANDO,OK,(,134,",",'CURSANDO',",",'OK',),","
135,CURSANDO,OK,(,135,",",'CURSANDO',",",'OK',),","
136,FORMADO,OK,(,136,",",'FORMADO',",",'OK',),","
137,CURSANDO,OK,(,137,",",'CURSANDO',",",'OK',),","
138,CURSANDO,OK,(,138,",",'CURSANDO',",",'OK',),","
139,LISTA DE ESPERA,DEVEDOR,(,139,",",'LISTA DE ESPERA',",",'DEVEDOR',),","
140,CURSANDO,OK,(,140,",",'CURSANDO',",",'OK',),","
141,LISTA DE ESPERA,OK,(,141,",",'LISTA DE ESPERA',",",'OK',),","
142,LISTA DE ESPERA,OK,(,142,",",'LISTA DE ESPERA',",",'OK',),","
143,LISTA DE ESPERA,OK,(,143,",",'LISTA DE ESPERA',",",'OK',),","
144,FORMADO,OK,(,144,",",'FORMADO',",",'OK',),","
145,FORMADO,OK,(,145,",",'FORMADO',",",'OK',),","
146,LISTA DE ESPERA,DEVEDOR,(,146,",",'LISTA DE ESPERA',",",'DEVEDOR',),","
147,LISTA DE ESPERA,OK,(,147,",",'LISTA DE ESPERA',",",'OK',),","
148,CURSANDO,DEVEDOR,(,148,",",'CURSANDO',",",'DEVEDOR',),","
149,FORMADO,OK,(,149,",",'FORMADO',",",'OK',),","
150,LISTA DE ESPERA,OK,(,150,",",'LISTA DE ESPERA',",",'OK',),","
151,CURSANDO,OK,(,151,",",'CURSANDO',",",'OK',),","
152,FORMADO,OK,(,152,",",'FORMADO',",",'OK',),","
153,FORMADO,OK,(,153,",",'FORMADO',",",'OK',),","
154,CURSANDO,DEVEDOR,(,154,",",'CURSANDO',",",'DEVEDOR',),","
155,FORMADO,OK,(,155,",",'FORMADO',",",'OK',),","
156,LISTA DE ESPERA,OK,(,156,",",'LISTA DE ESPERA',",",'OK',),","
157,FORMADO,OK,(,157,",",'FORMADO',",",'OK',),","
158,FORMADO,OK,(,158,",",'FORMADO',",",'OK',),","
159,FORMADO,OK,(,159,",",'FORMADO',",",'OK',),","
160,CURSANDO,DEVEDOR,(,160,",",'CURSANDO',",",'DEVEDOR',),","
161,FORMADO,OK,(,161,",",'FORMADO',",",'OK',),","
162,FORMADO,OK,(,162,",",'FORMADO',",",'OK',),","
163,CURSANDO,OK,(,163,",",'CURSANDO',",",'OK',),","
164,LISTA DE ESPERA,OK,(,164,",",'LISTA DE ESPERA',",",'OK',),","
165,FORMADO,DEVEDOR,(,165,",",'FORMADO',",",'DEVEDOR',),","
166,LISTA DE ESPERA,OK,(,166,",",'LISTA DE ESPERA',",",'OK',),","
167,LISTA DE ESPERA,OK,(,167,",",'LISTA DE ESPERA',",",'OK',),","
168,FORMADO,OK,(,168,",",'FORMADO',",",'OK',),","
169,CURSANDO,OK,(,169,",",'CURSANDO',",",'OK',),","
170,FORMADO,OK,(,170,",",'FORMADO',",",'OK',),","
171,LISTA DE ESPERA,DEVEDOR,(,171,",",'LISTA DE ESPERA',",",'DEVEDOR',),","
172,FORMADO,OK,(,172,",",'FORMADO',",",'OK',),","
173,CURSANDO,OK,(,173,",",'CURSANDO',",",'OK',),","
174,FORMADO,OK,(,174,",",'FORMADO',",",'OK',),","
175,FORMADO,OK,(,175,",",'FORMADO',",",'OK',),","
176,FORMADO,OK,(,176,",",'FORMADO',",",'OK',),","
177,CURSANDO,OK,(,177,",",'CURSANDO',",",'OK',),","
178,CURSANDO,DEVEDOR,(,178,",",'CURSANDO',",",'DEVEDOR',),","
179,CURSANDO,OK,(,179,",",'CURSANDO',",",'OK',),","
180,FORMADO,DEVEDOR,(,180,",",'FORMADO',",",'DEVEDOR',),","
181,CURSANDO,OK,(,181,",",'CURSANDO',",",'OK',),","
182,CURSANDO,OK,(,182,",",'CURSANDO',",",'OK',),","
183,LISTA DE ESPERA,OK,(,183,",",'LISTA DE ESPERA',",",'OK',),","
184,CURSANDO,OK,(,184,",",'CURSANDO',",",'OK',),","
185,LISTA DE ESPERA,OK,(,185,",",'LISTA DE ESPERA',",",'OK',),","
186,LISTA DE ESPERA,DEVEDOR,(,186,",",'LISTA DE ESPERA',",",'DEVEDOR',),","
187,LISTA DE ESPERA,OK,(,187,",",'LISTA DE ESPERA',",",'OK',),","
188,FORMADO,OK,(,188,",",'FORMADO',",",'OK',),","
189,FORMADO,OK,(,189,",",'FORMADO',",",'OK',),","
190,LISTA DE ESPERA,OK,(,190,",",'LISTA DE ESPERA',",",'OK',),","
191,LISTA DE ESPERA,OK,(,191,",",'LISTA DE ESPERA',",",'OK',),","
192,CURSANDO,DEVEDOR,(,192,",",'CURSANDO',",",'DEVEDOR',),","
193,FORMADO,OK,(,193,",",'FORMADO',",",'OK',),","
194,LISTA DE ESPERA,OK,(,194,",",'LISTA DE ESPERA',",",'OK',),","
195,CURSANDO,OK,(,195,",",'CURSANDO',",",'OK',),","
196,FORMADO,OK,(,196,",",'FORMADO',",",'OK',),","
197,FORMADO,DEVEDOR,(,197,",",'FORMADO',",",'DEVEDOR',),","
198,CURSANDO,OK,(,198,",",'CURSANDO',",",'OK',),","
199,FORMADO,OK,(,199,",",'FORMADO',",",'OK',),","
200,LISTA DE ESPERA,OK,(,200,",",'LISTA DE ESPERA',",",'OK',),","